Place,Rent,Distance,Gender,WiFi,Food,Parking,Amenities,Combined
"Lane-10, Post Office Road",7100,4200.0,Female,Yes,No,No,"Medical Shops, Transportation, Gym, Restaurants",Lane-10 Post Office Road 7100 4200.0 Female Yes No No Medical Shops Transportation Gym Restaurants
Manav Kendra,4900,3900.0,Male,Yes,No,Yes,Grocery Stores,Manav Kendra 4900 3900.0 Male Yes No Yes Grocery Stores
Gurn Nanak Road,6500,5000.0,Male,No,Yes,No,"Restaurants, Transportation, Gym, Medical Shops, Grocery Stores",Gurn Nanak Road 6500 5000.0 Male No Yes No Restaurants Transportation Gym Medical Shops Grocery Stores
Jaligaon,8400,7500.0,Female,Yes,No,No,"Restaurants, Grocery Stores, Medical Shops",Jaligaon 8400 7500.0 Female Yes No No Restaurants Grocery Stores Medical Shops
Mohabbewala,3700,8200.0,Female,Yes,No,Yes,"Gym, Transportation, Restaurants",Mohabbewala 3700 8200.0 Female Yes No Yes Gym Transportation Restaurants
Manav Kendra,10500,3900.0,Female,No,No,No,Gym,Manav Kendra 10500 3900.0 Female No No No Gym
"Clement Town, Post Office Road, Lane No 10",7300,4000.0,Female,Yes,No,No,Transportation,Clement Town Post Office Road Lane No 10 7300 4000.0 Female Yes No No Transportation
Shubhash Nagar,11400,5400.0,Female,Yes,No,Yes,Gym,Shubhash Nagar 11400 5400.0 Female Yes No Yes Gym
Morowala,4400,7000.0,Female,No,No,Yes,Gym,Morowala 4400 7000.0 Female No No Yes Gym
Nehru Marg,5100,5700.0,Male,Yes,No,No,"Restaurants, Transportation, Medical Shops, Grocery Stores, Gym",Nehru Marg 5100 5700.0 Male Yes No No Restaurants Transportation Medical Shops Grocery Stores Gym
"Lane-1, Clement Town",7900,2800.0,Female,No,No,No,Transportation,Lane-1 Clement Town 7900 2800.0 Female No No No Transportation
Bharuwala colony,11600,6200.0,Male,Yes,Yes,Yes,"Gym, Transportation, Medical Shops, Restaurants",Bharuwala colony 11600 6200.0 Male Yes Yes Yes Gym Transportation Medical Shops Restaurants
St Mary Church,9100,4400.0,Male,No,Yes,Yes,Medical Shops,St Mary Church 9100 4400.0 Male No Yes Yes Medical Shops
Gurn Nanak Road,5800,5000.0,Male,Yes,Yes,Yes,"Grocery Stores, Medical Shops, Restaurants, Transportation, Gym",Gurn Nanak Road 5800 5000.0 Male Yes Yes Yes Grocery Stores Medical Shops Restaurants Transportation Gym
Manav Kendra,11000,3900.0,Female,No,No,Yes,"Restaurants, Gym, Transportation",Manav Kendra 11000 3900.0 Female No No Yes Restaurants Gym Transportation
GK army Pre Primary School,5400,4600.0,Male,Yes,Yes,Yes,Grocery Stores,GK army Pre Primary School 5400 4600.0 Male Yes Yes Yes Grocery Stores
"Lane No 2C, Post Office Road, Clement Town, Dehradun",7700,4100.0,Male,Yes,No,Yes,Restaurants,Lane No 2C Post Office Road Clement Town Dehradun 7700 4100.0 Male Yes No Yes Restaurants
"Subhash Nagar, Dehradun",9400,5300.0,Male,Yes,Yes,Yes,"Medical Shops, Grocery Stores, Restaurants, Transportation",Subhash Nagar Dehradun 9400 5300.0 Male Yes Yes Yes Medical Shops Grocery Stores Restaurants Transportation
Tibetan Colony,5400,6800.0,Female,No,Yes,No,"Gym, Grocery Stores, Medical Shops",Tibetan Colony 5400 6800.0 Female No Yes No Gym Grocery Stores Medical Shops
Gurn Nanak Road,11700,5000.0,Female,No,Yes,Yes,"Medical Shops, Gym, Restaurants, Transportation, Grocery Stores",Gurn Nanak Road 11700 5000.0 Female No Yes Yes Medical Shops Gym Restaurants Transportation Grocery Stores
"Subhash Nagar, Dehradun",8300,5300.0,Male,No,No,Yes,"Medical Shops, Grocery Stores, Transportation, Restaurants",Subhash Nagar Dehradun 8300 5300.0 Male No No Yes Medical Shops Grocery Stores Transportation Restaurants
Air Force Colony,6900,6000.0,Female,Yes,No,Yes,"Grocery Stores, Medical Shops",Air Force Colony 6900 6000.0 Female Yes No Yes Grocery Stores Medical Shops
"Lane-1, Clement Town",3100,2800.0,Female,Yes,Yes,No,"Restaurants, Grocery Stores, Medical Shops, Transportation, Gym",Lane-1 Clement Town 3100 2800.0 Female Yes Yes No Restaurants Grocery Stores Medical Shops Transportation Gym
St Mary Church,6200,4400.0,Female,No,Yes,No,"Gym, Restaurants, Medical Shops",St Mary Church 6200 4400.0 Female No Yes No Gym Restaurants Medical Shops
Clement Town,8400,2700.0,Male,No,No,No,"Gym, Medical Shops, Transportation, Restaurants, Grocery Stores",Clement Town 8400 2700.0 Male No No No Gym Medical Shops Transportation Restaurants Grocery Stores
Bell Road,5500,5800.0,Male,No,Yes,No,"Medical Shops, Transportation, Gym",Bell Road 5500 5800.0 Male No Yes No Medical Shops Transportation Gym
Clement Town,12700,2700.0,Male,No,No,No,"Gym, Restaurants, Transportation, Medical Shops",Clement Town 12700 2700.0 Male No No No Gym Restaurants Transportation Medical Shops
Bell Road,5700,5800.0,Female,No,No,Yes,"Restaurants, Grocery Stores",Bell Road 5700 5800.0 Female No No Yes Restaurants Grocery Stores
Bell Road,6000,5800.0,Female,No,Yes,No,"Transportation, Gym",Bell Road 6000 5800.0 Female No Yes No Transportation Gym
St Mary Church,4100,4400.0,Male,No,No,No,"Medical Shops, Grocery Stores, Restaurants",St Mary Church 4100 4400.0 Male No No No Medical Shops Grocery Stores Restaurants
"Lane-1, Clement Town",6700,2800.0,Female,Yes,No,No,Medical Shops,Lane-1 Clement Town 6700 2800.0 Female Yes No No Medical Shops
Mohabbewala,4000,8200.0,Female,Yes,No,No,"Transportation, Medical Shops, Grocery Stores, Gym, Restaurants",Mohabbewala 4000 8200.0 Female Yes No No Transportation Medical Shops Grocery Stores Gym Restaurants
Bell Road,6600,5800.0,Female,No,Yes,No,"Grocery Stores, Restaurants",Bell Road 6600 5800.0 Female No Yes No Grocery Stores Restaurants
Shubhash Nagar,3300,5400.0,Male,No,No,No,"Transportation, Restaurants, Gym, Grocery Stores",Shubhash Nagar 3300 5400.0 Male No No No Transportation Restaurants Gym Grocery Stores
"Lane No 2C, Post Office Road, Clement Town, Dehradun",3600,4100.0,Male,Yes,Yes,Yes,"Restaurants, Medical Shops, Transportation, Gym",Lane No 2C Post Office Road Clement Town Dehradun 3600 4100.0 Male Yes Yes Yes Restaurants Medical Shops Transportation Gym
GK army Pre Primary School,6100,4600.0,Male,Yes,No,No,"Restaurants, Medical Shops",GK army Pre Primary School 6100 4600.0 Male Yes No No Restaurants Medical Shops
Clement Town,11500,2700.0,Female,Yes,No,No,"Grocery Stores, Gym, Medical Shops",Clement Town 11500 2700.0 Female Yes No No Grocery Stores Gym Medical Shops
"Lane-1, Clement Town",12300,2800.0,Female,No,No,Yes,"Restaurants, Medical Shops",Lane-1 Clement Town 12300 2800.0 Female No No Yes Restaurants Medical Shops
GK army Pre Primary School,11300,4600.0,Male,Yes,No,Yes,"Restaurants, Grocery Stores, Gym, Medical Shops",GK army Pre Primary School 11300 4600.0 Male Yes No Yes Restaurants Grocery Stores Gym Medical Shops
Pant Road,7000,6400.0,Male,Yes,No,No,"Grocery Stores, Gym, Transportation",Pant Road 7000 6400.0 Male Yes No No Grocery Stores Gym Transportation
"Subhash Nagar, Dehradun",12400,5300.0,Male,Yes,Yes,No,"Grocery Stores, Transportation, Gym, Restaurants, Medical Shops",Subhash Nagar Dehradun 12400 5300.0 Male Yes Yes No Grocery Stores Transportation Gym Restaurants Medical Shops
"Lane-10, Post Office Road",8200,4200.0,Female,No,No,Yes,"Gym, Transportation, Grocery Stores, Medical Shops",Lane-10 Post Office Road 8200 4200.0 Female No No Yes Gym Transportation Grocery Stores Medical Shops
"Lane-10, Post Office Road",12800,4200.0,Male,No,Yes,No,"Grocery Stores, Medical Shops, Restaurants, Gym",Lane-10 Post Office Road 12800 4200.0 Male No Yes No Grocery Stores Medical Shops Restaurants Gym
Jaligaon,11300,7500.0,Male,Yes,Yes,No,"Grocery Stores, Restaurants, Transportation",Jaligaon 11300 7500.0 Male Yes Yes No Grocery Stores Restaurants Transportation
Nehru Marg,10700,5700.0,Male,Yes,No,No,"Medical Shops, Restaurants",Nehru Marg 10700 5700.0 Male Yes No No Medical Shops Restaurants
Tibetan Colony,12300,6800.0,Female,No,No,Yes,"Gym, Restaurants, Transportation",Tibetan Colony 12300 6800.0 Female No No Yes Gym Restaurants Transportation
Bell Road,6200,5800.0,Male,Yes,Yes,Yes,"Gym, Restaurants, Transportation, Grocery Stores, Medical Shops",Bell Road 6200 5800.0 Male Yes Yes Yes Gym Restaurants Transportation Grocery Stores Medical Shops
"Lane-4, Clement Town",6300,3500.0,Female,No,No,Yes,"Medical Shops, Restaurants, Gym",Lane-4 Clement Town 6300 3500.0 Female No No Yes Medical Shops Restaurants Gym
"Clement Town, Post Office Road, Lane No 10",9200,4000.0,Female,Yes,No,Yes,"Gym, Grocery Stores, Restaurants, Transportation, Medical Shops",Clement Town Post Office Road Lane No 10 9200 4000.0 Female Yes No Yes Gym Grocery Stores Restaurants Transportation Medical Shops
Mohabbewala,5000,8200.0,Female,No,Yes,Yes,"Medical Shops, Restaurants, Gym, Transportation",Mohabbewala 5000 8200.0 Female No Yes Yes Medical Shops Restaurants Gym Transportation
Gurn Nanak Road,6600,5000.0,Male,No,No,No,"Medical Shops, Restaurants, Grocery Stores",Gurn Nanak Road 6600 5000.0 Male No No No Medical Shops Restaurants Grocery Stores
Tibetan Colony,11500,6800.0,Female,Yes,No,No,"Medical Shops, Grocery Stores, Restaurants, Transportation, Gym",Tibetan Colony 11500 6800.0 Female Yes No No Medical Shops Grocery Stores Restaurants Transportation Gym
Clement Town,3600,2700.0,Female,No,Yes,No,"Restaurants, Transportation, Gym, Grocery Stores",Clement Town 3600 2700.0 Female No Yes No Restaurants Transportation Gym Grocery Stores
Sahastradhara,9000,9500.0,Female,Yes,No,Yes,Transportation,Sahastradhara 9000 9500.0 Female Yes No Yes Transportation
"Lane-1, Clement Town",4200,2800.0,Female,No,No,No,"Restaurants, Medical Shops",Lane-1 Clement Town 4200 2800.0 Female No No No Restaurants Medical Shops
Shubhash Nagar,8100,5400.0,Female,Yes,Yes,No,Grocery Stores,Shubhash Nagar 8100 5400.0 Female Yes Yes No Grocery Stores
Pant Road,5500,6400.0,Male,Yes,Yes,Yes,Gym,Pant Road 5500 6400.0 Male Yes Yes Yes Gym
"Lane No 2C, Post Office Road, Clement Town, Dehradun",8200,4100.0,Female,No,No,No,"Grocery Stores, Transportation",Lane No 2C Post Office Road Clement Town Dehradun 8200 4100.0 Female No No No Grocery Stores Transportation
Gurn Nanak Road,3500,5000.0,Female,Yes,Yes,Yes,"Restaurants, Gym",Gurn Nanak Road 3500 5000.0 Female Yes Yes Yes Restaurants Gym
"Lane-3, Clement Town",7200,3300.0,Male,No,No,Yes,"Transportation, Gym, Grocery Stores, Restaurants, Medical Shops",Lane-3 Clement Town 7200 3300.0 Male No No Yes Transportation Gym Grocery Stores Restaurants Medical Shops
Mohabbewala,6900,8200.0,Male,No,Yes,No,"Grocery Stores, Gym, Transportation, Medical Shops",Mohabbewala 6900 8200.0 Male No Yes No Grocery Stores Gym Transportation Medical Shops
"Lane-3, Clement Town",8000,3300.0,Female,No,Yes,No,Transportation,Lane-3 Clement Town 8000 3300.0 Female No Yes No Transportation
Gurn Nanak Road,8600,5000.0,Female,No,No,Yes,"Grocery Stores, Gym, Restaurants, Medical Shops, Transportation",Gurn Nanak Road 8600 5000.0 Female No No Yes Grocery Stores Gym Restaurants Medical Shops Transportation
"Lane-3, Clement Town",11900,3300.0,Male,No,Yes,Yes,"Medical Shops, Gym, Restaurants, Grocery Stores",Lane-3 Clement Town 11900 3300.0 Male No Yes Yes Medical Shops Gym Restaurants Grocery Stores
Morowala,4000,7000.0,Male,No,Yes,Yes,"Grocery Stores, Restaurants, Transportation",Morowala 4000 7000.0 Male No Yes Yes Grocery Stores Restaurants Transportation
"Lane-3, Clement Town",8100,3300.0,Female,Yes,No,No,"Grocery Stores, Restaurants, Medical Shops",Lane-3 Clement Town 8100 3300.0 Female Yes No No Grocery Stores Restaurants Medical Shops
Bharuwala colony,5300,6200.0,Female,Yes,No,No,"Gym, Restaurants, Transportation",Bharuwala colony 5300 6200.0 Female Yes No No Gym Restaurants Transportation
Pant Road,4900,6400.0,Male,Yes,Yes,No,"Transportation, Gym, Medical Shops",Pant Road 4900 6400.0 Male Yes Yes No Transportation Gym Medical Shops
Mohabbewala,4400,1020000.0,Male,No,No,No,Gym,Mohabbewala 4400 1020000.0 Male No No No Gym
"Lane-10, Post Office Road",6400,1480000.0,Female,Yes,No,No,Gym,Lane-10 Post Office Road 6400 1480000.0 Female Yes No No Gym
Air Force Colony,4300,1283000.0,Male,No,No,No,"Transportation, Gym, Grocery Stores, Medical Shops",Air Force Colony 4300 1283000.0 Male No No No Transportation Gym Grocery Stores Medical Shops
Gurn Nanak Road,6300,1178000.0,Female,Yes,No,Yes,"Transportation, Restaurants, Grocery Stores",Gurn Nanak Road 6300 1178000.0 Female Yes No Yes Transportation Restaurants Grocery Stores
"Lane-2, Clement Town",6800,1481000.0,Female,No,Yes,No,"Gym, Grocery Stores, Restaurants, Medical Shops",Lane-2 Clement Town 6800 1481000.0 Female No Yes No Gym Grocery Stores Restaurants Medical Shops
"Lane-3, Clement Town",4300,1489000.0,Female,No,Yes,Yes,"Restaurants, Grocery Stores",Lane-3 Clement Town 4300 1489000.0 Female No Yes Yes Restaurants Grocery Stores
"Lane-10, Post Office Road",4200,1148000.0,Female,No,No,No,"Restaurants, Medical Shops, Grocery Stores, Gym, Transportation",Lane-10 Post Office Road 4200 1148000.0 Female No No No Restaurants Medical Shops Grocery Stores Gym Transportation
St Mary Church,7100,1012000.0,Female,Yes,Yes,No,"Gym, Medical Shops, Transportation, Grocery Stores, Restaurants",St Mary Church 7100 1012000.0 Female Yes Yes No Gym Medical Shops Transportation Grocery Stores Restaurants
Clement Town,6700,1309000.0,Male,No,Yes,No,"Restaurants, Grocery Stores",Clement Town 6700 1309000.0 Male No Yes No Restaurants Grocery Stores
Jaligaon,7400,1163000.0,Male,No,No,Yes,"Transportation, Medical Shops, Gym",Jaligaon 7400 1163000.0 Male No No Yes Transportation Medical Shops Gym
Tibetan Colony,5400,1460000.0,Female,No,No,Yes,"Medical Shops, Grocery Stores, Transportation",Tibetan Colony 5400 1460000.0 Female No No Yes Medical Shops Grocery Stores Transportation
Air Force Colony,5400,1421000.0,Female,Yes,No,No,"Restaurants, Medical Shops, Gym, Transportation",Air Force Colony 5400 1421000.0 Female Yes No No Restaurants Medical Shops Gym Transportation
"Lane-10, Post Office Road",5500,1259000.0,Female,No,No,No,"Grocery Stores, Gym, Medical Shops, Restaurants, Transportation",Lane-10 Post Office Road 5500 1259000.0 Female No No No Grocery Stores Gym Medical Shops Restaurants Transportation
Subhash Nagar,5000,1457000.0,Female,No,Yes,No,"Medical Shops, Grocery Stores, Gym, Restaurants, Transportation",Subhash Nagar 5000 1457000.0 Female No Yes No Medical Shops Grocery Stores Gym Restaurants Transportation
Tibetan Colony,7500,1400000.0,Male,Yes,Yes,No,Restaurants,Tibetan Colony 7500 1400000.0 Male Yes Yes No Restaurants
Morowala,4100,1201000.0,Female,No,No,Yes,"Medical Shops, Restaurants, Transportation, Gym, Grocery Stores",Morowala 4100 1201000.0 Female No No Yes Medical Shops Restaurants Transportation Gym Grocery Stores
"Lane-10, Post Office Road",5700,1011000.0,Female,Yes,No,No,"Grocery Stores, Gym",Lane-10 Post Office Road 5700 1011000.0 Female Yes No No Grocery Stores Gym
Sahastradhara,4800,1335000.0,Male,Yes,No,No,Gym,Sahastradhara 4800 1335000.0 Male Yes No No Gym
Pant Road,7200,1486000.0,Female,No,No,Yes,"Transportation, Medical Shops, Grocery Stores",Pant Road 7200 1486000.0 Female No No Yes Transportation Medical Shops Grocery Stores
Mohabbewala,4600,1313000.0,Male,Yes,Yes,No,"Gym, Transportation, Grocery Stores",Mohabbewala 4600 1313000.0 Male Yes Yes No Gym Transportation Grocery Stores
Clement Town,4100,1042000.0,Female,No,Yes,No,"Grocery Stores, Medical Shops, Transportation",Clement Town 4100 1042000.0 Female No Yes No Grocery Stores Medical Shops Transportation
Mohabbewala,7400,1290000.0,Female,No,No,Yes,"Transportation, Grocery Stores",Mohabbewala 7400 1290000.0 Female No No Yes Transportation Grocery Stores
Subhash Nagar,4600,1164000.0,Male,Yes,No,No,"Transportation, Restaurants, Medical Shops, Grocery Stores, Gym",Subhash Nagar 4600 1164000.0 Male Yes No No Transportation Restaurants Medical Shops Grocery Stores Gym
"Lane-3, Clement Town",7600,1033000.0,Male,Yes,Yes,Yes,"Transportation, Grocery Stores, Restaurants, Medical Shops",Lane-3 Clement Town 7600 1033000.0 Male Yes Yes Yes Transportation Grocery Stores Restaurants Medical Shops
Jaligaon,4500,1297000.0,Male,Yes,No,Yes,Gym,Jaligaon 4500 1297000.0 Male Yes No Yes Gym
Pant Road,7400,1493000.0,Female,No,No,Yes,"Medical Shops, Grocery Stores, Gym, Transportation, Restaurants",Pant Road 7400 1493000.0 Female No No Yes Medical Shops Grocery Stores Gym Transportation Restaurants
Pant Road,7900,1445000.0,Female,Yes,Yes,No,"Grocery Stores, Medical Shops",Pant Road 7900 1445000.0 Female Yes Yes No Grocery Stores Medical Shops
Mohabbewala,6500,1288000.0,Male,No,No,Yes,"Grocery Stores, Transportation, Medical Shops",Mohabbewala 6500 1288000.0 Male No No Yes Grocery Stores Transportation Medical Shops
ISBT Road,6700,1152000.0,Male,Yes,No,No,Grocery Stores,ISBT Road 6700 1152000.0 Male Yes No No Grocery Stores
"Clement Town, Post Office Road, Lane No 10",4000,1135000.0,Male,Yes,No,Yes,"Grocery Stores, Restaurants, Medical Shops, Transportation, Gym",Clement Town Post Office Road Lane No 10 4000 1135000.0 Male Yes No Yes Grocery Stores Restaurants Medical Shops Transportation Gym
Bell Road,7600,1093000.0,Male,No,Yes,No,Gym,Bell Road 7600 1093000.0 Male No Yes No Gym
Manav Kendra,4300,1327000.0,Female,Yes,Yes,Yes,"Grocery Stores, Restaurants, Transportation, Medical Shops",Manav Kendra 4300 1327000.0 Female Yes Yes Yes Grocery Stores Restaurants Transportation Medical Shops
St Mary Church,7200,1014000.0,Female,No,Yes,No,"Restaurants, Transportation, Medical Shops",St Mary Church 7200 1014000.0 Female No Yes No Restaurants Transportation Medical Shops
"Lane-1, Clement Town",7000,1413000.0,Male,Yes,Yes,No,"Gym, Medical Shops, Grocery Stores, Transportation",Lane-1 Clement Town 7000 1413000.0 Male Yes Yes No Gym Medical Shops Grocery Stores Transportation
Air Force Colony,6200,1119000.0,Female,No,Yes,Yes,Restaurants,Air Force Colony 6200 1119000.0 Female No Yes Yes Restaurants
Bell Road,7200,1278000.0,Male,Yes,Yes,No,"Gym, Medical Shops, Transportation",Bell Road 7200 1278000.0 Male Yes Yes No Gym Medical Shops Transportation
Subhash Nagar,4600,1358000.0,Female,Yes,Yes,Yes,"Restaurants, Transportation, Medical Shops, Grocery Stores",Subhash Nagar 4600 1358000.0 Female Yes Yes Yes Restaurants Transportation Medical Shops Grocery Stores
Mohabbewala,4000,1499000.0,Female,Yes,No,Yes,"Grocery Stores, Transportation, Gym, Medical Shops",Mohabbewala 4000 1499000.0 Female Yes No Yes Grocery Stores Transportation Gym Medical Shops
Tibetan Colony,4800,1422000.0,Female,No,No,No,Medical Shops,Tibetan Colony 4800 1422000.0 Female No No No Medical Shops
"Lane-4, Clement Town",5700,1370000.0,Female,Yes,No,No,"Transportation, Grocery Stores",Lane-4 Clement Town 5700 1370000.0 Female Yes No No Transportation Grocery Stores
Subhash Nagar,7000,1332000.0,Male,Yes,Yes,No,"Medical Shops, Gym",Subhash Nagar 7000 1332000.0 Male Yes Yes No Medical Shops Gym
Tibetan Colony,8000,1496000.0,Female,No,Yes,Yes,Gym,Tibetan Colony 8000 1496000.0 Female No Yes Yes Gym
Mohabbewala,7200,1348000.0,Male,Yes,No,Yes,"Grocery Stores, Restaurants, Medical Shops, Transportation, Gym",Mohabbewala 7200 1348000.0 Male Yes No Yes Grocery Stores Restaurants Medical Shops Transportation Gym
"Lane No 2C, Post Office Road, Clement Town, Dehradun",7500,1122000.0,Male,No,No,No,Gym,Lane No 2C Post Office Road Clement Town Dehradun 7500 1122000.0 Male No No No Gym
St Mary Church,4500,1131000.0,Female,Yes,Yes,No,Medical Shops,St Mary Church 4500 1131000.0 Female Yes Yes No Medical Shops
